id,user_id,game_version,game_year,name,position,archetype,star_rating,height_feet,height_inches,weight_lbs,hometown,state,stats,screenshot_url,actual_dev_trait,dev_trait_reported_at,predicted_dev_trait,prediction_confidence,created_at,updated_at,class,abilities,mentals,ocr_dev_trait,gem_color
1df43374-028d-4825-8271-a5c77ceaa0b5,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,ADDISON MCQUEEN,QB,Pocket Passer,4,6,2,187,South Jordan,UT,"{""speed"": 79, ""awareness"": 74, ""break_sack"": 60, ""throw_power"": 92, ""acceleration"": 75, ""throw_on_run"": 74, ""deep_accuracy"": 74, ""short_accuracy"": 84, ""under_pressure"": 74, ""medium_accuracy"": 81}",3020a55a-a94a-454b-aa63-34b697578c0d/11992e75-3d30-4b77-b47c-8aafdf4874eb/1769538366471_7.png,,,,,2026-01-27 18:26:58.423184+00,2026-01-27 18:26:58.423184+00,High School,[],"[""Road Dog"",""The Natural"",""Fan Favorite""]",Impact,green
07e2f80c-3cf8-4831-bd5f-ccd01452f6c3,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,AFA ULUAVE,QB,Backfield Creator,4,6,2,218,Southlake,TX,"{""speed"": 80, ""awareness"": 62, ""break_sack"": 75, ""throw_power"": 85, ""acceleration"": 82, ""throw_on_run"": 79, ""deep_accuracy"": 79, ""short_accuracy"": 74, ""under_pressure"": 80, ""medium_accuracy"": 73}",3020a55a-a94a-454b-aa63-34b697578c0d/9c2199e2-0b6f-4809-90e5-e39096e86588/1769606825165_7.png,,,,,2026-01-28 13:27:57.018268+00,2026-01-28 13:27:57.018268+00,High School,[],"[""Field General"",""Fan Favorite"",""Rollercoaster""]",Impact,
30fa22d3-1cbf-4088-8563-a357270fbf7d,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,ALEC GARBUTT,QB,Pocket Passer,4,6,3,220,Riverton,NJ,"{""speed"": 73, ""awareness"": 71, ""break_sack"": 60, ""throw_power"": 92, ""acceleration"": 82, ""throw_on_run"": 78, ""deep_accuracy"": 78, ""short_accuracy"": 83, ""under_pressure"": 72, ""medium_accuracy"": 83}",3020a55a-a94a-454b-aa63-34b697578c0d/58073f05-ea50-4f84-a461-60462810cc4d/1769535508491_3.png,,,,,2026-01-27 17:39:02.134567+00,2026-01-27 17:39:02.134567+00,High School,"[""Step Up""]","[""Headstrong"",""The Natural"",""Adrenaline""]",Normal,
15fb249b-6afa-490c-9011-729a9bb70410,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,ALEX AUGUSTINE,QB,Pocket Passer,4,6,4,211,Bellflower,CA,"{""speed"": 80, ""awareness"": 71, ""break_sack"": 60, ""throw_power"": 92, ""acceleration"": 78, ""throw_on_run"": 71, ""deep_accuracy"": 77, ""short_accuracy"": 84, ""under_pressure"": 74, ""medium_accuracy"": 81}",3020a55a-a94a-454b-aa63-34b697578c0d/625c202e-0cb5-408c-9fd5-d476742d073e/1769607507952_8.png,,,,,2026-01-28 13:39:51.38158+00,2026-01-28 13:39:51.38158+00,High School,[],[],Star,green
c41a8cf5-94d0-4fd6-9afd-f710784f7762,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,ALEX CLOUD,QB,Pocket Passer,4,6,5,197,Spring Branch,TX,"{""speed"": 78, ""awareness"": 72, ""break_sack"": 62, ""throw_power"": 89, ""acceleration"": 83, ""throw_on_run"": 77, ""deep_accuracy"": 74, ""short_accuracy"": 84, ""under_pressure"": 72, ""medium_accuracy"": 83}",3020a55a-a94a-454b-aa63-34b697578c0d/9fa2c4b1-0a4d-42c8-a2af-2ecc0d28a50b/1769605843380_0.png,,,,,2026-01-28 13:11:04.547548+00,2026-01-28 13:11:04.547548+00,High School,[],[],Elite,
e387346d-ac1a-41e4-9cff-ebd54f3d274c,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,ALEXANDER AH YOU,QB,Pocket Passer,4,6,5,179,Carrollton,TX,"{""speed"": 76, ""awareness"": 71, ""break_sack"": 57, ""throw_power"": 92, ""acceleration"": 80, ""throw_on_run"": 71, ""deep_accuracy"": 79, ""short_accuracy"": 83, ""under_pressure"": 73, ""medium_accuracy"": 83}",3020a55a-a94a-454b-aa63-34b697578c0d/4ed88b2b-2a63-4bfd-a896-3868da5c78f3/1769573694895_1.png,,,,,2026-01-28 04:15:42.729732+00,2026-01-28 04:15:42.729732+00,High School,"[""Step Up""]","[""Fan Favorite"",""Road Dog"",""Headstrong""]",Elite,green
06912bd5-7176-4815-a49b-f788df5ba0a4,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,ALEXANDER ANGEL,QB,Dual Threat,4,6,1,203,Wetumpka,AL,"{""speed"": 78, ""awareness"": 64, ""break_sack"": 67, ""throw_power"": 92, ""acceleration"": 87, ""throw_on_run"": 82, ""deep_accuracy"": 66, ""short_accuracy"": 76, ""under_pressure"": 76, ""medium_accuracy"": 80}",3020a55a-a94a-454b-aa63-34b697578c0d/f2fe5934-35a4-417c-bd51-f65da55000b0/1769606257447_3.png,,,,,2026-01-28 13:17:53.188989+00,2026-01-28 13:17:53.188989+00,High School,[],[],Normal,
2b92c07b-50ea-4f3a-b365-1e974daae085,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,ALFONSO HOPE,QB,Dual Threat,4,6,4,197,Tampa,FL,"{""speed"": 84, ""awareness"": 81, ""break_sack"": 67, ""throw_power"": 90, ""acceleration"": 85, ""throw_on_run"": 81, ""deep_accuracy"": 68, ""short_accuracy"": 78, ""under_pressure"": 75, ""medium_accuracy"": 79}",3020a55a-a94a-454b-aa63-34b697578c0d/f2e21b9b-d7a2-4474-8e17-ce3ffa2b6688/1769574925968_5.png,,,,,2026-01-28 04:35:55.714053+00,2026-01-28 04:35:55.714053+00,High School,[],"[""Clearheaded""]",Star,
4ae50e43-3555-498f-8485-42f23feb7f7f,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,ALPHONSO HATCHETT,QB,Dual Threat,4,6,2,195,Phenix City,AL,"{""speed"": 78, ""awareness"": 64, ""break_sack"": 66, ""throw_power"": 89, ""acceleration"": 85, ""throw_on_run"": 81, ""deep_accuracy"": 68, ""short_accuracy"": 80, ""under_pressure"": 75, ""medium_accuracy"": 78}",3020a55a-a94a-454b-aa63-34b697578c0d/625c202e-0cb5-408c-9fd5-d476742d073e/1769607510233_11.png,,,,,2026-01-28 13:39:05.614442+00,2026-01-28 13:39:05.614442+00,High School,[],[],Impact,
1e340ef1-50ca-4aa2-ac1c-f51177858a91,3020a55a-a94a-454b-aa63-34b697578c0d,ncaa_26,2026,ALPHONSO TOLSON,ATH,Dual Threat,4,6,4,204,Springdale,AR,"{""speed"": 83, ""awareness"": 62, ""break_sack"": 81, ""throw_power"": 85, ""acceleration"": 88, ""throw_on_run"": 83, ""deep_accuracy"": 66, ""short_accuracy"": 72, ""under_pressure"": 72, ""medium_accuracy"": 69}",3020a55a-a94a-454b-aa63-34b697578c0d/4ed88b2b-2a63-4bfd-a896-3868da5c78f3/1769573704085_10.png,,,,,2026-01-28 04:16:09.448244+00,2026-01-28 12:25:23.257538+00,High School,[],[],Normal,
